Gene stable ID,NCBI gene (formerly Entrezgene) ID,HGNC symbol
ENSG00000118600,10329,RXYLT1
ENSG00000179913,10331,B3GNT3
ENSG00000104938,10332,CLEC4M
ENSG00000174130,10333,TLR6
ENSG00000072952,10335,IRAG1
ENSG00000185619,10336,PCGF3
ENSG00000114354,10342,TFG
ENSG00000006606,10344,CCL26
ENSG00000186439,10345,TRDN
ENSG00000064687,10347,ABCA7
ENSG00000154263,10349,ABCA10
ENSG00000154258,10350,ABCA9
ENSG00000141338,10351,ABCA8
ENSG00000116874,10352,WARS2
ENSG00000129596,1036,CDO1
ENSG00000207357,103625684,RNU6-2
ENSG00000127528,10365,KLF2
ENSG00000006116,10368,CACNG3
ENSG00000166862,10369,CACNG2
ENSG00000164442,10370,CITED2
ENSG00000075213,10371,SEMA3A
ENSG00000123416,10376,TUBA1B
ENSG00000285048,10379,IRF9
ENSG00000213928,10379,IRF9
ENSG00000162813,10380,BPNT1
ENSG00000258947,10381,TUBB3
ENSG00000104833,10382,TUBB4A
ENSG00000188229,10383,TUBB4B
ENSG00000134255,10390,CEPT1
ENSG00000118680,103910,MYL12B
ENSG00000106100,10392,NOD1
ENSG00000164162,10393,ANAPC10
ENSG00000101335,10398,MYL9
ENSG00000204628,10399,RACK1
ENSG00000163624,1040,CDS1
ENSG00000133027,10400,PEMT
ENSG00000131788,10401,PIAS3
ENSG00000064225,10402,ST3GAL6
ENSG00000080986,10403,NDC80
ENSG00000079337,10411,RAPGEF3
ENSG00000137693,10413,YAP1
ENSG00000103502,10423,CDIPT
ENSG00000164040,10424,PGRMC2
ENSG00000138802,10427,SEC24B
ENSG00000120992,10434,LYPLA1
ENSG00000126749,10436,EMG1
ENSG00000216490,10437,IFI30
ENSG00000197223,10438,C1D
ENSG00000167315,10449,ACAA2
ENSG00000165556,1045,CDX2
ENSG00000084072,10450,PPIE
ENSG00000134215,10451,VAV3
ENSG00000130204,10452,TOMM40
ENSG00000100324,10454,TAB1
ENSG00000198721,10455,ECI2
ENSG00000175866,10458,BAIAP2
ENSG00000116670,10459,MAD2L2
ENSG00000171960,10465,PPIH
ENSG00000134363,10468,FST
ENSG00000171148,10474,TADA3
ENSG00000167863,10476,ATP5PD
ENSG00000170035,10477,UBE2E3
ENSG00000100372,10478,SLC25A17
ENSG00000198689,10479,SLC9A6
ENSG00000162231,10482,NXF1
ENSG00000101310,10483,SEC23B
ENSG00000100934,10484,SEC23A
ENSG00000107175,10488,CREB3
ENSG00000100568,10490,VTI1B
ENSG00000198722,10497,UNC13B
ENSG00000142453,10498,CARM1
ENSG00000140396,10499,NCOA2
ENSG00000245848,1050,CEBPA
ENSG00000143434,10500,SEMA6C
ENSG00000167680,10501,SEMA6B
ENSG00000135622,10505,SEMA4F
ENSG00000187764,10507,SEMA4D
ENSG00000185033,10509,SEMA4B
ENSG00000172216,1051,CEBPB
ENSG00000075223,10512,SEMA3C
ENSG00000286038,105180391,SPDYE13
ENSG00000286014,105180391,SPDYE15
ENSG00000286137,105180391,SPDYE14
ENSG00000121417,10520,ZNF211
ENSG00000085872,10523,CHERP
ENSG00000172977,10524,KAT5
ENSG00000280682,10525,HYOU1
ENSG00000149428,10525,HYOU1
ENSG00000133704,10526,IPO8
ENSG00000205339,10527,IPO7
ENSG00000101361,10528,NOP56
ENSG00000092067,1053,CEBPE
ENSG00000197548,10533,ATG7
ENSG00000104889,10535,RNASEH2A
ENSG00000288193,105369274,OR4N4C
ENSG00000279408,105369274,OR4N4C
ENSG00000156127,10538,BATF
ENSG00000153879,1054,CEBPG
ENSG00000175203,10540,DCTN2
ENSG00000134248,10542,LAMTOR5
ENSG00000101000,10544,PROCR
ENSG00000241685,10552,ARPC1A
